distrito_num,distrito_nombre,barrio_num,barrio_nombre,codigo_barrio,barrio_oficial
1,Centro,1,Palacio,011,11
1,Centro,2,Embajadores,012,12
1,Centro,3,Cortes,013,13
1,Centro,4,Justicia,014,14
1,Centro,5,Universidad,015,15
1,Centro,6,Sol,016,16
2,Arganzuela,1,Imperial,021,21
2,Arganzuela,2,Acacias,022,22
2,Arganzuela,3,Chopera,023,23
2,Arganzuela,4,Legazpi,024,24
2,Arganzuela,5,Delicias,025,25
2,Arganzuela,6,Palos de la Frontera,026,26
2,Arganzuela,7,Atocha,027,27
3,Retiro,1,Pacífico,031,31
3,Retiro,2,Adelfas,032,32
3,Retiro,3,Estrella,033,33
3,Retiro,4,Ibiza,034,34
3,Retiro,5,Los Jerónimos,035,35
3,Retiro,6,Niño Jesús,036,36
4,Salamanca,1,Recoletos,041,41
4,Salamanca,2,Goya,042,42
4,Salamanca,3,Fuente del Berro,043,43
4,Salamanca,4,Guindalera,044,44
4,Salamanca,5,Lista,045,45
4,Salamanca,6,Castellana,046,46
5,Chamartin,1,El Viso,051,51
5,Chamartin,2,Prosperidad,052,52
5,Chamartin,3,Ciudad Jardín,053,53
5,Chamartin,4,Hispanoamérica,054,54
5,Chamartin,5,Nueva España,055,55
5,Chamartin,6,Castilla,056,56
6,Tetuan,1,Bellas Vistas,061,61
6,Tetuan,2,Cuatro Caminos,062,62
6,Tetuan,3,Castillejos,063,63
6,Tetuan,4,Almenara,064,64
6,Tetuan,5,Valdeacederas,065,65
6,Tetuan,6,Berruguete,066,66
7,Chamberi,1,Gaztambide,071,71
7,Chamberi,2,Arapiles,072,72
7,Chamberi,3,Trafalgar,073,73
7,Chamberi,4,Almagro,074,74
7,Chamberi,5,Ríos Rosas,075,75
7,Chamberi,6,Vallehermoso,076,76
8,Fuencarral-El Pardo,1,El Pardo,081,81
8,Fuencarral-El Pardo,2,Fuentelarreina,082,82
8,Fuencarral-El Pardo,3,Peñagrande,083,83
8,Fuencarral-El Pardo,4,Pilar,084,84
8,Fuencarral-El Pardo,5,La Paz,085,85
8,Fuencarral-El Pardo,6,Valverde,086,86
8,Fuencarral-El Pardo,7,Mirasierra,087,87
8,Fuencarral-El Pardo,8,El Goloso,088,88
9,Moncloa-Aravaca,1,Casa de Campo,091,91
9,Moncloa-Aravaca,2,Argüelles,092,92
9,Moncloa-Aravaca,3,Ciudad Universitaria,093,93
9,Moncloa-Aravaca,4,Valdezarza,094,94
9,Moncloa-Aravaca,5,Valdemarín,095,95
9,Moncloa-Aravaca,6,El Plantío,096,96
9,Moncloa-Aravaca,7,Aravaca,097,97
10,Latina,1,Los Cármenes,101,101
10,Latina,2,Puerta del Angel,102,102
10,Latina,3,Lucero,103,103
10,Latina,4,Aluche,104,104
10,Latina,5,Campamento,105,105
10,Latina,6,Cuatro Vientos,106,106
10,Latina,7,Águilas,107,107
11,Carabanchel,1,Comillas,111,111
11,Carabanchel,2,Opañel,112,112
11,Carabanchel,3,San Isidro,113,113
11,Carabanchel,4,Vista Alegre,114,114
11,Carabanchel,5,Puerta Bonita,115,115
11,Carabanchel,6,Buenavista,116,116
11,Carabanchel,7,Abrantes,117,117
12,Usera,1,Orcasitas,121,121
12,Usera,2,Orcasur,122,122
12,Usera,3,San Fermín,123,123
12,Usera,4,Almendrales,124,124
12,Usera,5,Moscardó,125,125
12,Usera,6,Zofío,126,126
12,Usera,7,Pradolongo,127,127
13,Puente de Vallecas,1,Entrevías,131,131
13,Puente de Vallecas,2,San Diego,132,132
13,Puente de Vallecas,3,Palomeras Bajas,133,133
13,Puente de Vallecas,4,Palomeras Sureste,134,134
13,Puente de Vallecas,5,Portazgo,135,135
13,Puente de Vallecas,6,Numancia,136,136
14,Moratalaz,1,Pavones,141,141
14,Moratalaz,2,Horcajo,142,142
14,Moratalaz,3,Marroquina,143,143
14,Moratalaz,4,Media Legua,144,144
14,Moratalaz,5,Fontarrón,145,145
14,Moratalaz,6,Vinateros,146,146
15,Ciudad Lineal,1,Ventas,151,151
15,Ciudad Lineal,2,Pueblo Nuevo,152,152
15,Ciudad Lineal,3,Quintana,153,153
15,Ciudad Lineal,4,La Concepción,154,154
15,Ciudad Lineal,5,San Pascual,155,155
15,Ciudad Lineal,6,San Juan Bautista,156,156
15,Ciudad Lineal,7,Colina,157,157
15,Ciudad Lineal,8,Atalaya,158,158
15,Ciudad Lineal,9,Costillares,159,159
16,Hortaleza,1,Palomas,161,161
16,Hortaleza,2,Piovera,162,162
16,Hortaleza,3,Canillas,163,163
16,Hortaleza,4,Pinar del Rey,164,164
16,Hortaleza,5,Apóstol Santiago,165,165
16,Hortaleza,6,Valdefuentes,166,166
